,Unnamed: 0,TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
0,11,Break and Enter Commercial,2018,3,2,6,17,10XX ALBERNI ST,West End,491058.816893,5459123.08572
1,38,Break and Enter Commercial,2018,6,16,18,0,10XX ALBERNI ST,West End,491102.243911,5459092.4351
2,97,Break and Enter Commercial,2018,12,12,0,0,10XX BEACH AVE,West End,490227.222455,5458210.37851
3,110,Break and Enter Commercial,2018,4,9,6,0,10XX BEACH AVE,Central Business District,490249.23071,5458166.832780002
4,152,Break and Enter Commercial,2018,10,2,18,31,10XX BEACH AVE,Central Business District,490258.682976,5458154.50332
5,154,Break and Enter Commercial,2018,2,17,15,0,10XX BEACH AVE,Central Business District,490268.431997,5458142.57699
6,176,Break and Enter Commercial,2018,5,16,17,0,10XX BOUNDARY RD,Hastings-Sunrise,498275.619992,5458124.94114
7,191,Break and Enter Commercial,2018,3,2,3,23,10XX BROUGHTON ST,West End,490263.0875,5459187.20237
8,192,Break and Enter Commercial,2018,3,17,11,57,10XX BROUGHTON ST,West End,490263.0875,5459187.20237
9,198,Break and Enter Commercial,2018,6,3,2,0,10XX BROUGHTON ST,West End,490272.586439,5459183.81214
10,202,Break and Enter Commercial,2018,1,20,23,0,10XX BURNABY ST,West End,490423.585981,5458504.0063
11,203,Break and Enter Commercial,2018,2,28,18,0,10XX BURNABY ST,West End,490423.585981,5458504.0063
12,205,Break and Enter Commercial,2018,12,15,14,53,10XX BURNABY ST,West End,490439.912245,5458487.37386
13,233,Break and Enter Commercial,2018,2,8,8,38,10XX BURRARD ST,West End,490729.630242,5458622.13949
14,234,Break and Enter Commercial,2018,2,23,19,0,10XX BURRARD ST,West End,490729.630242,5458622.13949
15,235,Break and Enter Commercial,2018,3,1,7,8,10XX BURRARD ST,West End,490729.630242,5458622.13949
16,286,Break and Enter Commercial,2018,12,2,17,30,10XX BURRARD ST,Central Business District,490759.518333,5458639.4431099985
17,287,Break and Enter Commercial,2018,12,4,17,0,10XX BURRARD ST,Central Business District,490759.518333,5458639.4431099985
18,368,Break and Enter Commercial,2018,8,30,12,40,10XX CANADA PL,Central Business District,491519.319932,5459518.82715
19,413,Break and Enter Commercial,2018,11,13,4,45,10XX COMMERCIAL DR,Grandview-Woodland,494937.508453,5458088.05306
20,414,Break and Enter Commercial,2018,12,21,5,3,10XX COMMERCIAL DR,Grandview-Woodland,494937.508453,5458088.05306
21,430,Break and Enter Commercial,2018,1,5,7,36,10XX COMMERCIAL DR,Grandview-Woodland,494946.691213,5458091.78833
22,435,Break and Enter Commercial,2018,4,16,15,19,10XX COMMERCIAL DR,Grandview-Woodland,494946.769656,5458099.44621
23,446,Break and Enter Commercial,2018,12,4,2,2,10XX DAVIE ST,West End,490467.115494,5458629.8737900015
24,449,Break and Enter Commercial,2018,9,28,5,4,10XX DAVIE ST,West End,490488.990657,5458595.46144
25,475,Break and Enter Commercial,2018,9,20,4,0,10XX DAVIE ST,West End,490528.604294,5458556.39953
26,488,Break and Enter Commercial,2018,12,30,13,37,10XX DAVIE ST,West End,490546.342774,5458551.749969998
27,494,Break and Enter Commercial,2018,12,4,2,6,10XX DAVIE ST,West End,490552.001862,5458546.1697
28,542,Break and Enter Commercial,2018,2,27,21,30,10XX DENMAN ST,West End,489825.314689,5459533.6122900015
29,543,Break and Enter Commercial,2018,2,28,13,7,10XX DENMAN ST,West End,489825.314689,5459533.6122900015
30,571,Break and Enter Commercial,2018,9,9,8,26,10XX DENMAN ST,West End,489880.774865,5459589.19561
31,590,Break and Enter Commercial,2018,1,10,7,38,10XX DUNSMUIR ST,Central Business District,491237.790307,5459258.95052
32,591,Break and Enter Commercial,2018,6,25,6,34,10XX DUNSMUIR ST,Central Business District,491237.790307,5459258.95052
33,592,Break and Enter Commercial,2018,11,6,4,30,10XX DUNSMUIR ST,Central Business District,491237.790307,5459258.95052
34,619,Break and Enter Commercial,2018,1,25,12,41,10XX E BROADWAY AVE,Mount Pleasant,493990.52448500006,5456637.96837
35,629,Break and Enter Commercial,2018,3,14,9,25,10XX E BROADWAY AVE,Mount Pleasant,494074.110411,5456636.80664
36,632,Break and Enter Commercial,2018,5,1,18,1,10XX E CORDOVA ST,Strathcona,494024.670983,5458795.83317
